,rowid,kepid,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,category
rowid,1.0,0.021448373230206097,-0.4544934552395009,0.3168235121871436,0.15051271315803422,0.037655552880929116,0.07121384044840696,0.0035075336338367853,0.17889775311860148,-0.18961156565686363,0.07366760254858841,0.2142686741206987,-0.2142686741206987,0.033460029245438,-0.03748916681646081,-0.00740553254914695,0.1580470038453025,0.22127816302191428,-0.24040878530414156,0.22478922981113073,0.021089566809768995,-0.02229765541186601,0.028484555677964832,0.027383181116705384,-0.025935724468777212,0.1093241097394503,,,0.02689398151553732,0.03788460815615259,-0.025271794085757946,0.182343036077995,-0.05776498828918979,0.1383384907684091,0.22866886266201086,-0.22039539080597784,-0.15334035238889537,0.14428492444711385,-0.16442873107823125,0.06580621099177235,0.10112786487211063,-0.06518146935582568,0.04238409023623017,0.018022666547580397,-0.10510265269556145,0.5014996815002396
kepid,0.021448373230206097,1.0,0.09522513426063392,-0.03467600979435699,-0.04867533716676258,-0.09994373557703232,-0.04446981957440401,0.011511158554373277,0.011505894442226872,-0.011611166593485402,0.013620315121035188,-0.002222224157951321,0.002222224157951321,0.00035787036230662544,-0.03289305629753578,-0.007212453458057688,-0.026407381066465604,-0.014673554225583292,0.015497490936368392,-0.01748334943676751,-0.015788489143968167,0.016194475386056846,0.003681228483633374,0.006156018996381772,-0.0038501229655399684,-0.058704672372928375,,,-0.012403236932428702,-0.010518257063936214,0.013166558960040422,0.0009977171434073903,0.025219576470329578,-0.025494478337191998,-0.0044202188705386135,0.0031276502757521863,0.05225545645716003,-0.02670597082772108,-0.024098042849998485,-0.027171217850572256,-0.027870545748327487,0.02471974613169489,-0.0022883996730933558,0.9935867692800799,0.017524703376736353,-0.100647473965528
koi_score,-0.4544934552395009,0.09522513426063392,1.0,-0.34983668634131515,-0.582209532319882,-0.5211034773236227,-0.39825072414832485,-0.07066884766865063,-0.08958320002311744,0.09307679682111775,-0.008329334809606138,-0.028336500325702643,0.028336500325702643,-0.2143396000749116,-0.12175190543113208,-0.07217580320686247,-0.17320014254471344,-0.08773523498145346,0.0953039218493539,-0.30100982069223675,-0.1612185821642482,0.166397509808511,-0.07687022031634232,-0.05458079700432685,0.04968868863507082,-0.3022788854990085,,,-0.03099472331762804,-0.04323752512614105,0.026134009355154874,-0.26903433449176967,0.2090806165477386,-0.1925444367550199,-0.3724316977443758,0.33359478197229825,0.15001692780998135,-0.16426748273577577,0.22838223252692139,-0.07176706030800403,-0.1170097076802528,0.07552872149881179,-0.16866561228501883,0.09494362324620383,0.04211157806352523,-0.8977742214644435
koi_fpflag_nt,0.3168235121871436,-0.03467600979435699,-0.34983668634131515,1.0,-0.25356229115597134,-0.020809530219454243,0.027111738144195475,0.0324276251259165,0.32140559703373234,-0.35886163913903435,0.2507479708819629,0.26360961760646373,-0.26360961760646373,0.056061506710321556,-0.02239898259364964,-0.04609633937974397,0.2593607998824318,0.31829994911315573,-0.3703540009586236,-0.04587277881403349,0.024520872221391255,-0.027878836929862337,0.045007875573024526,0.048594542607971955,-0.04188069750053949,-0.021832039849611816,,,0.002633130735268302,0.02355392772174417,-0.004895800107819789,-0.08024264262317804,0.031630583688298804,0.10782703438878816,0.1383987447458624,-0.1556966067512471,-0.1204387703934504,0.06307798328839884,-0.1712423088506022,0.03461869768140866,0.08793423770403952,-0.04384269535088891,0.006800038645910091,-0.03869530638159113,-0.10380258043541274,0.4025779141221467
koi_fpflag_ss,0.15051271315803422,-0.04867533716676258,-0.582209532319882,-0.25356229115597134,1.0,0.1497326558801947,0.10000074047404986,-0.02098418734700495,-0.12852288598127184,0.1349834507339158,-0.12075013687315082,-0.17294631133530464,0.17294631133530464,0.04320432259227351,0.14615231545337118,0.05144122182543613,0.003638883326686552,-0.18158978869012396,0.19394639675535,0.4243227818931588,0.008356313462319857,-0.007952060790475349,0.0014285832335145512,0.006197669559401394,0.0017703079426373105,0.1885167659634702,,,0.02587669528969847,0.022201159402887898,-0.019642935304853816,0.4310232894065112,-0.1819895275330073,0.10383827675116858,0.20443014551495592,-0.17234607174303607,-0.04975081177907074,0.1148550772504775,-0.04484819323857968,0.03193170071018014,0.0364230553647568,-0.0311978597762581,0.0859464486662841,-0.04765347851562268,0.020889507601456376,0.44932876436149577
koi_fpflag_co,0.037655552880929116,-0.09994373557703232,-0.5211034773236227,-0.020809530219454243,0.1497326558801947,1.0,0.5256838367976607,-0.020440662809520033,-0.08477019486772677,0.0888414861278563,-0.11998924980372774,-0.03157868698177424,0.03157868698177424,0.011166039598407916,0.10829378646022421,-0.0027631385465791305,-0.04553681035796039,-0.008512971719624741,0.013526991281190207,-0.12498708405251499,-0.01000966924413797,0.010466263915474842,-0.01149075474067111,-0.015183038817905765,0.011605795777095035,0.25365384679023306,,,0.020266043081892077,0.01915272865627879,-0.014563276516880292,-0.1283507181198888,-0.12247188408348823,0.017076727417058468,0.1456785615468814,-0.11114412080697936,-0.010834933949488604,-0.016323946844375024,-0.04699436212065372,0.03680292296542372,0.029254353794558225,-0.028214501192950613,0.15607791298703436,-0.09813081100526029,0.06433740165514576,0.42142653165071026
koi_fpflag_ec,0.07121384044840696,-0.04446981957440401,-0.39825072414832485,0.027111738144195475,0.10000074047404986,0.5256838367976607,1.0,-0.017020963346323456,-0.07885966960338983,0.08224368091607716,-0.10111299360559009,0.0019767157611431346,-0.0019767157611431346,-0.005013735402360998,0.0346191991974723,0.009869210103397695,0.018939194228761884,0.020461772513374967,-0.016910008034933557,-0.0872797555706455,-0.0034018174253643337,0.0036894001261370026,-0.010148302483491868,-0.012597647671488634,0.008865845939594134,0.21741814721252645,,,0.030204530629971964,0.03888523430432575,-0.02471843803970338,-0.08989679728584656,-0.09575797670199235,0.01122444154917437,0.11168961154931549,-0.07762839792963826,0.0021904725490050295,-0.005519203364769879,-0.03624075287447417,0.019273570177594866,0.026714122934799984,-0.010054978856798165,0.07000187202961528,-0.04533899566890416,0.03844973491825861,0.3184437399592134
koi_period,0.0035075336338367853,0.011511158554373277,-0.07066884766865063,0.0324276251259165,-0.02098418734700495,-0.020440662809520033,-0.017020963346323456,1.0,0.05286682624953074,-0.05317223983917297,0.0955795883502278,0.02077597475340213,-0.02077597475340213,0.004928270053746474,-0.00188366678228346,-0.0038433800640579347,0.037301808361714844,0.0323136976066725,-0.0329222068040363,-0.00918023979970597,0.00263720083706051,-0.0026617205515842473,0.00513475156526069,0.0034424197992115463,-0.004966136289187436,-0.04909706730519253,,,-0.002603328896275342,-0.003642270293498009,0.0024482315799276965,-0.009613935549060136,-0.015106671023839455,-0.013552185530153346,0.005324946289012678,0.0031942059752266823,0.0018765416201577069,-0.006465630244798376,-0.003179770732231091,-0.00099327329528518,-0.00043498060876299944,0.0015557266337046735,0.005669661749844855,0.011479290484248566,-0.009858263923418136,0.00943889612051213
koi_period_err1,0.17889775311860148,0.011505894442226872,-0.08958320002311744,0.32140559703373234,-0.12852288598127184,-0.08477019486772677,-0.07885966960338983,0.05286682624953074,1.0,-1.0,0.41356826585417333,0.51572672029488,-0.51572672029488,0.024696631500289414,-0.01407092714610336,-0.031763103252986265,0.26305033686864043,0.5455646102486102,-0.54349220203895,-0.07054323389555832,0.008151407939698476,-0.0077938622053758955,0.02337392591021211,0.017060042383039282,-0.022589749885484064,-0.22975925430413685,,,-0.012415655595219776,-0.01734991638258035,0.011660771788550494,-0.08064111130336711,0.014819850488851304,0.03414127236704863,0.07968284333504626,-0.05792858217923899,-0.005139506029941112,0.00427181853481283,-0.18619080697099147,0.003773187760701606,0.030328204048292312,4.569119410569513e-05,-0.03157064465226188,0.009361618179605782,-0.021937163245841138,0.1279951625890849
koi_period_err2,-0.18961156565686363,-0.011611166593485402,0.09307679682111775,-0.35886163913903435,0.1349834507339158,0.0888414861278563,0.08224368091607716,-0.05317223983917297,-1.0,1.0,-0.43007867051389126,-0.51572672029488,0.51572672029488,-0.02499936151126197,0.01407092714610336,0.031763103252986265,-0.2728079149696701,-0.54349220203895,0.54349220203895,0.07108599852168818,-0.0077938622053758955,0.0077938622053758955,-0.02335597179720283,-0.01705724217884009,0.022560099401859143,0.23318278702775333,,,0.011834707004505332,0.01689781713345829,-0.011017842611809532,0.08131531198253913,-0.017695630972288386,-0.03498117899590733,-0.08078099540004163,0.05901314469933245,0.006311071428383013,-0.005142576945603694,0.18667832923986327,-0.005900265307192398,-0.032554200692583295,0.0023731541052255606,0.032095370357340273,-0.009384168970353117,0.025988973879489084,-0.13870387720898908
